rank,name,url,overallRating,easeOfUse,design,features,outputs,privacy,accountFriction,resultQuality,bestFor,pricing,tags
108,Strategic Group Maker,https://workspace.google.com/marketplace/app/strategic_group_maker/997854293694,3.4,2.5,2.8,4.0,4.2,2.2,1.5,3.8,Google Sheets add-on for strategic classroom groups and Zoom breakout export,Google Workspace Marketplace add-on. Pricing is not shown; installation and Google account permissions are required.,"constraints,strong-exports"
109,TeamGenerator.net Team Generator,https://www.teamgenerator.net/team-generator,3.4,3.0,3.8,3.6,3.2,1.4,5.0,3.6,Sports and game teams balanced by skill ratings and roles,Free ad-supported web tool. No account is required.,constraints
110,TimeTiki Group Generator,https://timetiki.com/group-generator/,3.4,4.0,3.5,2.6,2.6,2.7,5.0,2.4,"Group-size generator with list utilities, copy, recent groups, and history",Free ad-supported web tool. No account required.,
111,Toolora Team Generator,https://toolora.info/en/t/team-generator/,3.4,4.3,3.8,2.5,2.3,4.4,5.0,2.8,Private browser-side random teams with copy and settings share,Free browser tool. No account or paid tier is needed for the team generator.,privacy-friendly
112,TXToolbox Smart Team Splitter,https://www.txtoolbox.com/tool/team-splitter,3.4,3.2,3.6,3.5,1.8,2.8,5.0,3.2,Balanced team splitter with skill levels and greedy balancing algorithm,Free browser-based web tool. No account required for the tool.,constraints
113,VMaths Générateur d’Équipes Aléatoires,https://www.vmaths.fr/apps/generateur-equipes-aleatoires.html,3.4,3.4,3.5,2.8,2.4,3.8,5.0,2.7,"French random team generator with TXT/CSV import, 2-20 teams, copy controls, and Fisher-Yates documentation",Free web tool. No account required.,
114,AI225 Team Generator,https://tools.ai225.com/en/tools/team-generator/,3.3,3.8,3.2,3.2,3.4,2.4,5.0,2.3,"Browser-side random teams with import, exclude toggles, history, copy, and export",Free. No account is required.,ai-assisted
115,Calculation Support Random Group Generator,https://www.calculation.support/en/work-school/random-group-generator,3.3,3.7,3.2,2.6,3.2,3.8,5.0,2.4,"Random group generator with placeholders, file import, and Excel download",Free web tool. No account required.,
116,ClassInteractives Formgroup Creator,https://groupings.classinteractives.co.uk/,3.3,2.0,1.8,3.7,3.2,3.8,5.0,3.6,UK-style form/class allocation using friends and must-avoid relationships,Free. No account is required.,"constraints,strong-exports"
117,Clock Buddies Generator,https://clockbuddies.skillsconverged.com/,3.3,3.2,2.7,3.0,2.0,2.6,5.0,2.8,Training/classroom clock-buddies partner generator with duplicate checks and themed labels,Free web tool. No account required.,
118,CodersTool Random Group Generator,https://www.coderstool.com/random-group-generator,3.3,3.8,3.6,3.4,4.0,1.1,5.0,2.5,"Reusable random groups with seed, history, sharing, TXT/CSV, and saved lists",Free. No account is required.,strong-exports
119,DateRounds,https://daterounds.com/,3.3,3.3,3.2,3.7,2.2,2.5,4.7,3.5,Small free speed-dating or networking rotation events,Free host event with no signup or credit card for up to six attendees. Larger events require paid event packs or subscriptions.,"multi-round,constraints,self-join"
120,DRAW-LOTS Team Generator,https://www.draw-lots.com/teams-generate/,3.3,3.4,3.3,2.9,1.7,2.3,5.0,2.7,"Team generator with seed/skill seeding controls, group sizing, and configurable picking",Free ad-supported web tool. No account required.,constraints
121,FreeClassroomTools Group Generator,https://www.freeclassroomtools.com/tools/group-generator,3.3,4.0,3.6,2.0,1.4,4.0,5.0,2.3,Teacher-focused random group generator with reshuffle and classroom display styling,Free web tool. No account required.,privacy-friendly
122,FreeToolly Random Group Picker,https://freetoolly.com/en/tools/random-group-picker,3.3,3.7,3.2,2.7,2.8,3.0,5.0,2.4,"Random group picker with count/size modes, leader/vice-leader assignment, and CSV export",Free web tool. No account required.,
123,Lembog Random Group Generator,https://lembog.com/tools/random-group-generator,3.3,4.1,3.6,2.1,2.4,2.8,5.0,2.3,Clean random group generator with quick group-count buttons and copy-all output,Free ad-supported web tool. No account required.,
124,MatchBalancer Volleyball Team Generator,https://matchbalancer.com/volleyball-team-generator,3.3,2.4,3.7,4.0,3.0,2.1,1.5,4.0,"Volleyball team balancing by skill, position, roster, and match history",Free trial with 4 matches and unlimited players; Pro unlocks unlimited matches and CSV export. Sign-in is required.,constraints
125,PickWinner Random Team Generator,https://pickwinner.tools/tools/random-team-generator,3.3,4.1,3.6,2.8,2.5,4.2,5.0,2.7,Clean privacy-friendly random team cards with shareable URLs,Free web tool; source linked on GitHub.,privacy-friendly
126,QuickRandomizer Random Team Generator,https://www.quickrandomizer.com/random-team-generator,3.3,3.8,3.6,2.3,2.4,3.2,5.0,2.5,Modern Fisher-Yates team generator with copy-all and history,Free web tool. No account required.,
127,RandAnimal Random Group Generator,https://randanimal.com/random-group-generator.html,3.3,3.8,3.3,2.3,2.7,2.5,5.0,2.4,"Random group generator with title, find, save, and print controls",Free web tool. No account required.,
128,Random Media Hub Random Team Generator,https://www.randommediahub.com/random-team-generator,3.3,3.9,3.5,2.2,2.2,4.0,5.0,2.4,"Clean random team generator with count/size modes, quick team counts, shuffle, and copy",Free web tool. No account required.,privacy-friendly
129,Random-Group-Generator.com,https://random-group-generator.com/,3.3,4.1,4.0,3.3,4.0,1.7,4.2,3.0,Single-session browser grouping with copy/export/share controls and lightweight balance modes,Free for basic generation. Saving/history uses login. The page advertises optional sync/account features rather than a clearly priced paid plan.,"constraints,strong-exports"
130,Random.GG Team Generator,https://www.random.gg/team-generator/en,3.3,3.5,3.8,2.8,2.2,1.8,5.0,2.4,Character-themed team generator with API access,Free ad-supported web tool. No account required.,
131,Randommer Random Team Generator,https://randommer.com/random-team-generator/,3.3,3.7,3.2,2.5,2.8,4.0,5.0,2.4,"Random team generator with duplicate removal, split-by-space, copy, and text download",Free web tool. No account required.,privacy-friendly
132,RandomOS Group Generator,https://randomos.co.uk/tools/group-generator/,3.3,3.9,3.6,2.2,1.6,4.6,5.0,2.4,Clean random group generator with count/max-size modes and share link,Free web tool. No account required.,privacy-friendly
133,Spin of Wheel Team Generator,https://spinofwheel.com/team-generator,3.3,4.0,3.6,2.0,2.3,2.8,5.0,2.3,Polished team generator with copy-all and balanced-size claims,Free web tool. No account required.,
134,Sport Scheduler Pro Free Schedule Generator,https://sportschedulerpro.com/create,3.3,3.9,3.6,3.4,4.3,2.6,4.7,3.1,Free round-robin team schedules with links and exports,"Free schedule generator with no signup required for the tested workflow. Pro features are advertised for deeper league management, extra edits, and larger/managed workflows.","multi-round,constraints,strong-exports"
135,WebRandom Random Team Generator,https://www.webrandom.com/,3.3,4.0,3.4,2.8,3.8,4.0,5.0,2.2,"No-account random teams with custom names, copy, text download, and share link",Free. No account is required.,privacy-friendly
136,Wooclap Team Picker,https://tool.wooclap.com/en/free-group-maker,3.3,4.8,4.4,2.4,4.8,4.2,5.0,2.1,Polished simple random teams with strong export options,Free standalone group-generator page. No account is required for this specific free team picker; do not confuse it with Wooclap’s broader paid audience-engagement product.,"privacy-friendly,strong-exports"
137,Any One Will Do,https://anyonewilldo.com/,3.2,3.0,3.8,2.7,2.8,4.2,5.0,2.6,Privacy-friendly browser-only random picker and group drafter,Free browser tool. No account required; support/donation links are separate.,privacy-friendly
138,AnyOnlineTool Group Generator Tool,https://anyonlinetool.com/en/tool/group-generator-tool,3.2,3.3,3.2,2.6,3.6,2.6,3.4,2.3,"Credit-based group generator with copy, CSV, PDF, API, and embed controls",Free guest credits with account/credit model. Registration available.,strong-exports
139,ClassroomTools.app Group Maker,https://www.classroomtools.app/tools/group-maker?names=Alice%2CBob%2CCharlie%2CDiana%2CEmma%2CFrank%2CGrace%2CHenry&groups=2,3.2,3.8,3.6,2.0,1.6,4.2,5.0,2.2,Free no-tracking teacher group maker with URL-prefill and embed controls,Free web tool. No account required.,privacy-friendly
140,ClassSeats,https://app.classseats.app/,3.2,2.6,3.7,3.7,1.2,4.3,3.8,2.7,"Teacher classroom-management app with local class files, student import, seating, attendance, and group generation",Early-access app; sign-in unlocks Pro free until 2026-09-01. Local/explore mode available without signing in.,privacy-friendly
141,DecisionFlip Random Team Generator,https://decisionflip.com/random-team-generator,3.2,4.0,3.2,2.8,2.8,2.0,5.0,3.2,Skill-aware random team maker with saved configurations and copy output,Free ad-supported web tool. No account required for the generator.,constraints
142,Der Zufallsgenerator Gruppen Zufall,https://derzufallsgenerator.de/gruppen-zufall,3.2,3.5,3.2,2.8,1.2,1.7,5.0,2.6,German random group/team generator with group names and group-leader options,Free ad-supported web tool. No account required.,
143,DigitaleTools Groepjesmaker,https://digitaletools.nl/tools/groepjesmaker/,3.2,3.6,3.5,2.2,2.0,3.0,5.0,2.3,Dutch classroom group maker with count/participants modes and sharing,Free web tool. No account required.,
144,FastRounds,https://fastrounds.com/,3.2,3.4,3.2,3.4,2.3,2.6,4.7,3.4,Small free speed-networking round rotation events,Free host event with no signup or credit card for up to six attendees. Larger events require paid event packs or subscriptions.,"multi-round,constraints,self-join"
145,Flipiffy Random Group Generator,https://flipiffy.com/random-tools/group-generator/,3.2,3.3,2.9,3.3,3.3,0.9,5.0,2.7,"Basic random groups with leaders, exclusions, saved list, CSV, and copy",Free. No account is required.,"constraints,strong-exports"
146,Grouperapp.net,https://grouperapp.net/,3.2,2.8,3.7,3.6,3.0,2.4,1.8,3.2,Google Classroom teachers who want paid group history and preferences,"14-day free trial, then advertised at $6.99/month on the Professional plan.","constraints,strong-exports"
147,Groupify.it,https://groupify.it/,3.2,3.3,3.0,2.8,1.4,3.0,5.0,2.5,"Classroom peer-group tool with roster upload, sex field, group-size/count modes, and animation controls",Free web tool. No account required.,
148,Keamk,https://www.keamk.com/random-team-generator,3.2,2.9,2.0,3.4,4.3,1.0,4.0,3.1,Random teams with basic gender or skill balancing,"Free basic team generator with optional account/admin features for saving and managing groups. The free workflow is usable, but persistence and classroom-management convenience depend more on the account side.","constraints,strong-exports"
149,ParTeeOf18 Randomizer,https://parteeof18.com/randomizer/,3.2,2.6,3.4,4.0,2.0,1.8,2.0,3.5,Productized golf pairing randomizer with random/manual/handicap/AB/ABCD and multi-round league ambitions,Product/app feature; login/membership links present.,constraints
150,PrepPanel Classroom Group Generator,https://preppanelclassroom.com/,3.2,3.0,3.8,3.8,2.6,2.9,2.8,3.7,Chrome-extension classroom tool with ability-balanced groups and relationship rules,Free Chrome extension. No paid plan was required by the public landing page.,constraints
151,PrintYourBrackets Round Robin Generator,https://www.printyourbrackets.com/round-robin-generator.php,3.2,3.3,2.0,3.3,4.0,1.2,5.0,3.6,"Tournament organizers who need printable round-robin schedules, pools, Excel export, and share links",Free web generator. No account required for the printable schedule flow. The site promotes a free online tournament manager as a separate upgrade path/workflow.,"multi-round,constraints,strong-exports"
152,Pudone Random Grouper,https://pudone.com/random-grouper/,3.2,3.2,3.5,2.8,2.8,3.6,5.0,2.5,"Privacy-first random group generator with count/size modes, custom group names, animation, copy, and download claims",Free web tool. No account required.,
153,RandomPickerTool Team Generator,https://randompickertool.com/team-generator,3.2,4.0,3.5,2.0,2.3,4.5,5.0,2.3,"Clean no-tracking team generator with count/size modes, rebalance, and copy",Free web tool. No account required.,privacy-friendly
154,RandomTeamBuilder.com,https://randomteambuilder.com/,3.2,3.5,3.1,3.4,1.8,1.5,3.8,2.7,Visual random teams with drag-and-drop adjustment and exclusion-rule claims,Free for the visible randomizer. Account/login surfaces exist for list/account features.,constraints
155,RandoTeams,https://www.randoteams.com/,3.2,3.6,3.7,2.4,1.8,2.7,5.0,2.4,Wheel-style random team splitter with split-all and drag-and-drop claims,Free ad-supported web tool. No account required.,
156,Raugen Random Team Generator,https://raugen.com/toolbox/random-team-generator,3.2,4.0,3.7,2.7,3.2,2.5,4.8,2.3,"Quick random teams with custom team names, copy-all output, basic stats, and local generation history",Free web tool. No account required for team generation; sign-in exists for the broader RauGen site.,ai-assisted
157,ScoreKeeperCo Random Team Generator,https://www.scorekeeper.co/random-team-generator,3.2,3.8,3.7,1.9,1.0,3.6,4.8,2.3,Sports-oriented random team generator with reshuffle and scoreboard/bracket links,Free web tool. Account links for ScoreKeeperCo are present but not required for generator.,
158,slack-meetups,https://github.com/liddiard/slack-meetups,3.2,1.8,2.3,3.5,2.2,2.6,1.9,3.4,Open-source Slack bot for recurring random 1:1 meetup rounds,"Free open-source Slack bot. Requires server, Slack app, database/task queue setup.",multi-round
159,Slumpgenerator Random Team Generator,https://slumpgenerator.com/random-team-generator,3.2,3.7,3.4,2.4,1.4,2.0,5.0,2.4,"No-account team randomizer with paste input, group-count/size modes, optional names, and leaders",Free ad-supported web tool. No account required.,
160,Speed Friending and Dating Matcher,https://github.com/machinekoder/speed-friending-and-dating-matcher,3.2,2.0,2.2,3.4,3.4,4.0,2.8,3.2,Open-source CLI/server matcher for speed-friending and speed-dating events,Free open-source Python package. Requires install/CLI or server setup.,
161,Stilest Random Team Generator,https://www.stilest.com/tools/random-team-generator,3.2,4.0,3.4,2.0,2.2,2.8,5.0,2.3,Clean comma/newline team splitter with regenerate and copy controls,Free ad-supported web tool. No account required.,
162,Tekscape Random Group Generator,https://tekscape.io/tools/school/random-group-generator,3.2,3.6,3.3,2.2,1.8,2.8,4.4,2.5,School random group generator with generated output and share/save actions,Free web tool; Pro labels shown for save/load actions. No account needed for generation.,
163,TextGround Random Group Generator,https://www.textground.com/tools/random-group-generator/,3.2,3.8,3.3,2.8,3.4,2.0,5.0,2.2,"Simple group splitting with bulk import, reshuffle, copy, and download",Free. No account is required.,
164,TienIchHay Random Group Generator,https://tienichhay.net/random-group.html,3.2,3.6,2.9,2.6,3.0,1.5,5.0,2.4,Vietnamese/English random group generator with leader selection and CSV export,Free ad-supported web tool. No account required.,strong-exports
165,Wordstopia Team Picker,https://www.wordstopia.com/wheel-team-picker.html,3.2,3.7,3.3,2.4,2.2,2.0,5.0,2.4,"Team picker with spin-for-first-turn, copy results, samples, and 2–8 teams",Free ad-supported web tool. No account required.,
166,YTool Random Group Generator,https://ytool.net/group/,3.2,3.8,2.8,2.2,3.1,3.0,5.0,2.2,"Multilingual random group tool with paste input, copy, TXT export, and Excel export",Free web tool. No account required.,
167,1000tools Random Pairs Generator,https://1000tools.xyz/random-pairs-generator/,3.1,3.3,3.2,2.8,2.6,2.2,5.0,2.4,"Pair/triplet/quartet generator with bulk input, remainder handling, export, and history",Free ad-supported web tool. No account required.,
168,afreetools Smart Team Generator,https://afreetools.com/smart-team-generator,3.1,3.2,2.7,3.3,1.8,0.8,5.0,3.0,"Small smart-team experiments with skill, role, avoid-pair, and share-link controls",Free. No account is required.,constraints
169,AppSorteos Random Teams Generator,https://app-sorteos.com/en/apps/random-teams-generator,3.1,4.6,3.9,2.4,4.0,2.0,4.6,2.1,Polished free random teams with leaders and share/export buttons,The random team generator is free and works without an account. AppSorteos also has paid plans for its broader giveaway/promotion platform; saving or sharing results directly from the app requires login/account creation.,strong-exports
170,Buchstaben.com Zufallsgruppen-Generator,https://www.buchstaben.com/zufallsgeneratoren/zufallsgruppen-generator,3.1,3.3,3.0,2.8,1.0,1.6,5.0,2.4,"German random group generator with group-count/size, leaders, and distribution settings",Free ad-supported web tool. No account required.,
171,Calculop Random Class Group Generator,https://calculop.com/en/calculators/random-tools/random-class-group-generator,3.1,3.4,3.1,2.0,1.2,2.6,5.0,2.5,Random class group calculator with crypto-randomness explanation and similar random-tools variants,Free ad-supported web tool. No account required.,
172,Drawrilla Random Team Generator,https://drawrilla.com/tools/random-team-generator/,3.1,3.6,3.0,2.1,2.8,2.4,5.0,2.2,"Team generator with number-of-teams/member-per-team modes, generated lists, copy, and download",Free web tool. No account required.,
173,Elysia Tools Random Group Generator,https://elysiatools.com/en/tools/random-group-generator,3.1,3.4,3.2,2.6,1.8,4.0,5.0,2.3,"Tool/API random group generator with separators, empty-group/order options, and prefix controls",Free web tool. No account required for page use.,privacy-friendly
174,FateFactory Team Splitter,https://www.fatefactory.org/en/team-splitter,3.1,3.0,3.8,2.9,3.2,4.0,5.0,2.2,"Ad-light random teams with file import, local templates, sharing, and QR output",Free. No account is required.,privacy-friendly
175,FlipACoinOnline Random Team Generator,https://flipacoinonline.com/random-team-generator/,3.1,3.8,3.2,2.1,3.3,1.8,5.0,2.5,Random teams with CSV download and team label styles,"Free, ad-supported web tool. No account is needed.",strong-exports
176,GenKit Random Group Generator,https://gen-kit.com/tools/random-group-generator/,3.1,3.8,3.3,2.2,2.6,2.8,5.0,2.2,"Browser-side random group generator with sample data, reshuffle, copy, share, and bookmarks",Free ad-supported web tool. No account required.,
177,Group Generator Project,https://group-generator-project.netlify.app/,3.1,3.5,3.4,2.0,2.2,4.2,5.0,2.5,Indonesian random group generator with theme toggle and image download,Free static web tool. No account required.,privacy-friendly
178,Kalkulator Random Group Generator,https://kalkulator.com.ua/en/calculators/random-group-generator/,3.1,3.6,3.1,2.6,2.7,1.7,5.0,2.3,"Group division calculator with count/size modes, copy, print, statistics, and history",Free ad-supported web calculator. No account required.,
179,LottoNames Team Generator,https://lottonames.app/en/team/,3.1,3.6,3.7,1.9,1.0,2.8,5.0,2.2,Visual team picker with animated draw and team-count controls,Free web tool. No account required.,
180,Mate.tools Random Team Generator,https://mate.tools/random-team-generator,3.1,3.8,3.3,2.6,2.5,2.0,5.0,2.2,"Simple browser-side teams with by-count/by-size modes, organizer selection, and copy",Free. No account is required.,
181,PickerKit Team Picker,https://pickerkit.com/team-picker,3.1,3.2,3.8,2.8,3.0,2.4,5.0,2.3,"Polished random teams with representatives, share, and save/load file controls",Free. No account is required.,
182,RandGenerator Random Group Generator,https://www.randgenerator.com/group.html,3.1,3.7,3.2,1.8,2.0,3.0,5.0,2.2,Simple random group generator with copy results,Free web tool. No account required.,
183,Randomly Random Group Generator,https://randomly.group/random-group,3.1,3.4,3.2,2.5,2.4,1.6,5.0,2.2,"Random group generator with single entry, bulk import, file upload, copy/export claims, and multilingual UI",Free ad-supported web tool. No account required.,
184,RandTools Random Team Generator,https://randtools.com/random-team-generator,3.1,4.4,3.8,1.8,2.0,4.2,5.0,2.1,Privacy-conscious basic random team splitting with copy output,"Free web tool. No signup, download, or account is required.","privacy-friendly,basic-randomizer"
185,Shibutz Random Group Generator,https://www.shibutz.com/free-tools/random-groups,3.1,4.0,3.4,2.1,2.6,2.6,5.0,2.5,Teacher-focused random groups with fixed-size or fixed-count modes,Free tool with no registration required for the random group generator. The surrounding Shibutz product has sign-in and trial flows.,
186,Simplewoody Team Generator,https://simplewoody.com/en/random/team-generator.html,3.1,3.9,3.3,1.8,2.2,2.8,5.0,2.2,Simple random team generator with comma/newline input and copy results,Free ad-supported web tool. No account required.,
187,Team Balancer Generic Team Balance,https://www.team-balancer.com/generic-team-balance,3.1,2.8,2.8,3.1,1.5,3.3,5.0,3.7,Attribute-based team balancer for small manual rosters,Free web tool. No account required.,constraints
188,Toolnest Random Team Generator,https://lab.golamrabbani.org/generators/random-team-generator,3.1,4.0,3.4,2.5,2.0,3.2,5.0,2.8,Privacy-conscious basic teams with team-count/team-size modes and copy output,Free web tool.,
189,TurboToolkit Split List Into Groups,https://turboutilkit.com/splitlistintogroups/,3.1,3.2,2.8,3.1,4.0,1.6,5.0,2.2,"General list splitting with randomize, dedupe, sorting, CSV/JSON/text output, copy, and TXT download",Free. No account is required.,strong-exports
190,Utils.fun Random Grouping,https://utils.fun/random-group,3.1,3.1,3.2,2.7,3.1,4.2,5.0,2.2,Chinese-language browser grouping with copy/download output,Free. No account is required.,privacy-friendly
191,WheelOfNames.net Team Picker,https://wheelofnames.net/team-picker,3.1,3.7,3.2,2.6,3.1,1.2,5.0,2.8,Ad-supported team picker with skill/custom-name toggles and text export,"Free, ad-supported web tool. No account is needed.",constraints
192,A-Fitz Group Generator,https://github.com/A-Fitz/Group-Generator,3.0,2.5,2.4,3.2,1.4,3.8,3.0,3.0,Open-source desktop group generator that considers student preferences,Free open-source desktop app under MIT license.,constraints
193,ABCDTools Team Generator,https://www.abcdtools.com/en/team-generator,3.0,3.7,3.0,1.8,2.1,3.0,5.0,2.2,Free team grouping tool with copyable group cards,Free web tool. No account required.,
194,AI Random Generator Team Generator,https://ai-random-generator.com/random-team-generator,3.0,3.8,3.4,1.7,1.0,3.0,5.0,2.1,Clean random team generator with plus/minus team count,Free web tool. No account required.,"basic-randomizer,ai-assisted"
195,Begoodtool Smart Grouping Tool,https://begoodtool.com/smart-grouping/en,3.0,2.9,3.2,4.0,3.3,0.9,5.0,2.4,"Experimental rule-based grouping with tags, violations, drag/drop, and Excel export",Free. No account is required. The page includes ads/consent and donation prompts.,constraints
196,Betext Random Team Generator,https://betext.io/random-team-generator/,3.0,4.2,3.4,2.6,3.5,3.1,5.0,2.2,Basic random teams with leaders and CSV/TXT/copy output,Free. No account is required.,strong-exports
197,Camp Chieflings TeamGen-360,https://chieflings.com/tools/teamgen-360/,3.0,3.4,3.1,2.6,1.8,2.0,4.5,2.6,Team generator with leaders and random team names,"Free web tool. The broader site has sign-in/shop surfaces, but the generator itself is available without an account.",
198,ChatGPT (Free Version),https://chatgpt.com/,3.0,4.0,4.4,3.4,3.2,2.0,3.5,2.8,Natural-language grouping when users are willing to verify the output,"Free tier available with usage/model/tool limits. Higher limits, stronger models, and business privacy defaults require paid ChatGPT plans; free consumer chats may be used to improve models depending on data controls/settings.","constraints,ai-assisted"
199,Chirag Mehta Team Maker,https://chir.ag/projects/team-maker/,3.0,4.3,2.5,2.7,3.5,2.7,5.0,2.2,Lightweight random teams with editable team names and CSV output,Free. No account is required.,strong-exports
200,CinderGPT Random Team Generator,https://www.cindergpt.com/tools/random-team,3.0,4.3,3.6,2.1,3.4,2.7,5.0,2.1,Quick random teams with copy/download/share and local browser processing claims,Free web tool. No registration required.,
201,Coda Random Team Generator Template,https://coda.io/@makon/random-team-generator,3.0,2.8,3.4,2.8,2.5,2.5,2.5,2.5,"Coda template for reusable random team generation with players, team selection, and team names tables",Free-to-view Coda template; copying/saving likely requires a Coda account.,
202,ConverterPanda Random Group Generator,https://converterpanda.com/random-group-generator/,3.0,3.5,3.1,3.0,3.2,1.2,5.0,2.2,"Basic random groups with remaining-member handling, naming styles, stats, export, and print",Free. No account is required.,
203,DecodeIt Random Team Generator,https://decodeit.app/en/randomizers/random-team-generator,3.0,4.2,4.0,2.2,2.8,1.8,5.0,2.4,"Polished browser-based random team splitter with upload, examples, and custom team names",Free web tool. No account required.,
204,DiceFlipper Team Generator,https://diceflipper.com/team-generator/,3.0,3.8,3.1,1.7,1.0,4.0,5.0,2.1,Simple random balanced team splitter with low observed tracking,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
205,Diverse Group Generation,https://diverse-group-generation.vercel.app/,3.0,2.2,3.1,3.0,1.4,2.0,5.0,3.6,Small attribute-balanced grouping experiments,Free. No account is required.,constraints
206,DJPlaner GroupGenerator,https://djplaner.github.io/GroupGenerator/,3.0,3.5,2.1,1.9,1.6,4.8,5.0,2.1,Tiny GitHub Pages random group generator with save/load allocation controls,Free static web tool. No account required.,privacy-friendly
207,Edu4 Random Group Generator,https://www.edu4.com/random-group-generator/,3.0,3.6,3.0,1.7,1.0,4.0,5.0,2.1,Multilingual classroom random group generator with shuffle-again,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
208,EliteAI Tools Random Team Generator,https://eliteai.tools/tool/random-team-generator,3.0,3.2,2.8,2.8,3.3,2.8,5.0,2.7,Random teams with captains and table/text/CSV output,Free online tool. No paid tier is described for the random team generator.,ai-assisted
209,EMFLS Random Team Generator,https://emfls.com/util/teamgen/,3.0,3.7,2.4,1.4,1.0,4.2,5.0,2.1,Tiny browser-based team splitter with no-upload/no-tracking claim,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
210,FateWheel Team Generator,https://fatewheel.com/tools/team-generator,3.0,3.8,4.0,2.5,1.0,2.8,5.0,2.2,Visual random team assignment with team-count/team-size modes,"Free web tool with no account required for the tested generation flow. The wider site has login, saved-wheel, pricing, and ad-supported surfaces.",
211,Glima AI Random Pair Generator,https://glima.ai/free-tools/ai-random-pair-name,3.0,3.3,3.2,2.4,1.5,1.8,4.2,2.4,AI-branded random pair generator with no-repeat/specific-rule inputs,"Free web tool; broader Glima AI product has sign-in/pricing, but reviewed pair generation did not require sign-in.","constraints,ai-assisted"
212,Golf Captains,https://www.golfcaptains.com/,3.0,2.2,3.0,3.4,1.0,2.6,1.4,2.8,"Account-based golf group captain assistant for rosters, availability, schedules, and pairings",14-day free trial; page advertises $10 per member per year. Account required.,
213,InYourLeague Secret Santa Team Generator,https://tools.inyourleague.net/en/random-secret-santa-team-generator-group-size-exclusion-en/,3.0,3.2,2.8,3.0,1.8,2.2,5.0,3.2,Secret Santa-style teams with min/max sizes and exclusion pairs,"Free, ad-supported web tool. No account is needed for the generator.",constraints
214,JarvisBox Team Picker,https://tools.jarvisbox.app/pick/team-picker/,3.0,4.0,3.3,2.2,3.0,4.8,5.0,2.2,Privacy-friendly one-page team splitting with copy/download,Free. No account is required.,privacy-friendly
215,Lekktura Random Name Picker & Group Maker,https://lekktura.com/tools/random-name-picker,3.0,3.8,3.4,2.6,3.4,1.9,5.0,2.2,Classroom name picking plus basic random groups,"Free tool. No account is required for the picker/group maker, though the surrounding Lekktura product has login, school, pricing, and Stripe/payment surfaces.",strong-exports
216,LetsRandomize Random Team Generator,https://letsrandomize.org/tools/random-team-generator/,3.0,4.6,3.6,2.2,3.1,2.3,5.0,2.1,"Fast browser-side team splits with copy/share, recent history, and random-captain mode",Free web tool. No account required.,
217,Maak Groepjes,https://maakgroepjes.netlify.app/,3.0,3.3,2.8,2.7,1.5,3.6,5.0,2.3,"Dutch classroom group maker with pasted lists, gender-mixing option, saved lists, and offline-ish local cookies",Free web app. No account required.,
218,MyAIUtility Team Generator,https://myaiutility.com/tools/team-generator/,3.0,4.0,3.4,2.2,2.3,2.6,5.0,2.5,"Simple team generator with import box, shuffle, copy, and manual move controls",Free web tool. No account required.,
219,Nacho Caballero Random Group Generator,https://observablehq.com/@nachocab/random-group-generator,3.0,2.0,2.4,3.6,1.2,2.6,3.8,3.4,Observable notebook for repeated random groups with pair-repeat minimization logic,Free public Observable notebook; sign-in only needed to fork/save work.,multi-round
220,NotchTools Team Maker,https://notchtools.com/team-maker,3.0,3.8,3.3,2.0,1.2,2.7,5.0,2.2,"Simple team maker with pasted players, team count/size controls, and editable team names",Free ad-supported web tool. No account required.,
221,Pandos Team Generator,https://pandos.io/team-generator,3.0,2.3,3.2,3.1,2.0,1.7,3.0,2.8,Guided team formation workflow when email/server processing is acceptable,Free tool flow allows up to 20 members without signup. More members require signup/contact. CSV/link delivery asks for an email address; the broader Pandos product has paid/business surfaces.,constraints
222,PartyPlay Team Generator,https://partyplay.games/en/team-generator/,3.0,3.4,3.7,2.8,2.7,2.0,5.0,2.2,"Casual party/classroom teams with paste, saved lists, captain mode, copy, and share",Free. No account is required.,
223,Penguin Tools Team Generator,https://penguintools.net/en/team-generator,3.0,4.3,3.2,1.8,2.0,3.2,5.0,2.4,Simple random teams with team-count or members-per-team mode,Free web tool. No account is needed for the team generator.,
224,PickRandom.online Random Team Generator,https://www.pickrandom.online/random-team,3.0,3.6,3.2,2.1,0.8,4.3,5.0,2.7,Private cryptographic browser-side random teams with no account,Free web tool. No signup required.,privacy-friendly
225,pyslackrandomcoffee,https://github.com/tjansson60/pyslackrandomcoffee,3.0,2.0,1.8,2.8,1.5,2.8,2.2,3.2,Open-source Slack random-coffee pair bot with recent-repeat avoidance,Free open-source Slack bot. Requires Slack API token and hosting/scheduler.,multi-round
226,Quick Pick Team Generator,https://quickpick.tools/teams,3.0,3.8,3.6,2.5,2.0,3.0,5.0,2.7,Simple random teams with optional skill balancing and share/fullscreen controls,Free web tool. No account is required.,constraints
227,Randly Group Generator,https://randly.app/tools/group-generator,3.0,3.8,3.6,2.7,2.4,4.0,5.0,2.3,Clean no-account random groups with multiple generated draws,Free. No account is required.,privacy-friendly
